inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,calibrationClick.clicked_name,tracking_resp.keys,tracking_resp.rt
space,2.961,0.2225,-0.238333359,1,0,0,0.485,0.34833333,0,0,0,0,0,0,33,1,0.66,0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,,
,,,,,,,0.006666718,0.21416666,1,0,0,0,1,1,13,1,0,0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.4225,0.008333321,1,0,0,0,2,2,22,1,0.44,0,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,,
,,,,,,,-0.2125,0.213333321,1,0,0,0,3,3,8,1,-0.22,0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.074166718,0.288333321,1,0,0,0,4,4,3,1,-0.44,0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,,
,,,,,,,-0.233333321,-0.44,1,0,0,0,5,5,5,1,-0.22,-0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,,
,,,,,,,-0.203333321,0.40916666,0,0,0,0,6,6,28,1,-0.66,0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,,
,,,,,,,-0.65833333,-0.445833359,1,0,0,0,7,7,25,1,-0.66,-0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,-0.444166641,-0.4375,1,0,0,0,8,8,0,1,-0.44,-0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,-0.67,-0.0075,1,0,0,0,9,9,27,1,-0.66,0,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.446666718,0.228333321,1,0,0,0,10,10,23,1,0.44,0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.436666718,-0.430833359,1,0,0,0,11,11,20,1,0.44,-0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,-0.22,0.43833333,1,0,0,0,12,12,9,1,-0.22,0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.214166718,-0.004166679,1,0,0,0,13,13,17,1,0.22,0,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.224166718,0.2275,1,0,0,0,14,14,18,1,0.22,0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0,-0.005833359,1,0,0,0,15,15,12,1,0,0,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.445833359,0.441666665,1,0,0,0,16,16,24,1,0.44,0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,-0.434166641,-0.209166718,1,0,0,0,17,17,1,1,-0.44,-0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,,
,,,,,,,-0.67,-0.224166718,1,0,0,0,18,18,26,1,-0.66,-0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.654166718,0.000833321,1,0,0,0,19,19,31,1,0.66,0,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,-0.004166641,0.426666665,1,0,0,0,20,20,14,1,0,0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,,
,,,,,,,0.665833435,0.2225,1,0,0,0,21,21,32,1,0.66,0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,-0.2225,-0.210833359,1,0,0,0,22,22,6,1,-0.22,-0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,-0.51916666,-0.023333359,0,0,0,0,23,23,4,1,-0.44,0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,,
,,,,,,,-0.221666641,-0.004166679,1,0,0,0,24,24,7,1,-0.22,0,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,-0.005833282,-0.433333359,1,0,0,0,25,25,10,1,0,-0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.445,-0.219166718,1,0,0,0,26,26,21,1,0.44,-0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.223333359,-0.226666718,1,0,0,0,27,27,16,1,0.22,-0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.218333359,-0.445,1,0,0,0,28,28,15,1,0.22,-0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.218333359,0.43333333,1,0,0,0,29,29,19,1,0.22,0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.6675,-0.215,1,0,0,0,30,30,30,1,0.66,-0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,-0.433333321,0.005833321,1,0,0,0,31,31,2,1,-0.44,0,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,0.6725,-0.435,1,0,0,0,32,32,29,1,0.66,-0.44,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,,
,,,,,,,0.0025,-0.218333359,1,0,0,0,33,33,11,1,0,-0.22,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,calibration_square,,
,,,,,,,,,,,,,,,,,,,,001,2025-02-10_17h53.00.327,demo_eye_tracking2,2021.2.3,Win32,59.88023952,,space,12.5343
