inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,calibrationClick.clicked_name
space,5.0054,0.136111153,-0.010185206,1,0,0,-0.139814801,-0.219444487,0,0,0,0,0,0,6,1,-0.22,-0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.668518508,0.000925912,1,0,0,0,1,1,27,1,-0.66,0,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,-0.432407414,0.212962963,1,0,0,0,2,2,3,1,-0.44,0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,0.662963019,0.43796296,1,0,0,0,3,3,33,1,0.66,0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,-0.434259238,-0.002777771,1,0,0,0,4,4,2,1,-0.44,0,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,-0.445370356,-0.218518504,1,0,0,0,5,5,1,1,-0.44,-0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,0.22592594,-0.006481489,1,0,0,0,6,6,17,1,0.22,0,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,0.65370376,-0.220370399,1,0,0,0,7,7,30,1,0.66,-0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,0.655555584,0.212962963,1,0,0,0,8,8,32,1,0.66,0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,0.00462963,0.000925912,1,0,0,0,9,9,12,1,0,0,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,0.109259288,-0.457407422,0,0,0,0,10,10,10,1,0,-0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.660185178,-0.223148134,0,0,0,0,11,11,26,1,-0.66,-0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.660185178,-0.223148134,0,0,0,0,12,12,28,1,-0.66,0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.660185178,-0.223148134,0,0,0,0,13,13,13,1,0,0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.660185178,-0.223148134,0,0,0,0,14,14,20,1,0.44,-0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,0.218518504,0.224999993,1,0,0,0,15,15,18,1,0.22,0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,-0.442592586,-0.437037079,1,0,0,0,16,16,0,1,-0.44,-0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,0.006481524,-0.071296303,1,0,0,0,17,17,25,1,-0.66,-0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,0.18240745,0.043518526,0,0,0,0,18,18,19,1,0.22,0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,0.18240745,0.043518526,0,0,0,0,19,19,31,1,0.66,0,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,0.18240745,0.043518526,0,0,0,0,20,20,29,1,0.66,-0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,0.064814815,-0.132407436,1,0,0,0,21,21,11,1,0,-0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,0.146849332,-0.271780855,0,0,0,0,22,22,4,1,-0.44,0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,0.478904076,-0.272876729,0,0,0,0,23,23,21,1,0.44,-0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,0.248767173,-0.146849332,1,0,0,0,24,24,14,1,0,0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.167671183,0.11178083,1,0,0,0,25,25,5,1,-0.22,-0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.167671183,0.11178083,1,0,0,0,26,26,23,1,0.44,0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.406575326,0.353972605,0,0,0,0,27,27,22,1,0.44,0,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.21369863,0.219178082,1,0,0,0,28,28,8,1,-0.22,0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,calibration_square
,,,,,,,0.260821951,-0.277260307,0,0,0,0,29,29,16,1,0.22,-0.22,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,0.223561661,-0.18630137,0,0,0,0,30,30,7,1,-0.22,0,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
,,,,,,,-0.446027406,0.475616432,0,0,0,0,31,31,15,1,0.22,-0.44,shri,001,2025-02-21_13h01.32.890,demo_eye_tracking2,2021.2.3,Win32,60.60606061,
