Calibrate_X,Calibrate_Y,Duration,TargetSize
-0.66,-0.66,1.5,0.05
-0.66,-0.44,1.5,0.05
-0.66,-0.22,1.5,0.05
-0.66,0,1.5,0.05
-0.66,0.22,1.5,0.05
-0.66,0.44,1.5,0.05
-0.66,0.66,1.5,0.05
-0.44,-0.66,1.5,0.05
-0.44,-0.44,1.5,0.05
-0.44,-0.22,1.5,0.05
-0.44,0,1.5,0.05
-0.44,0.22,1.5,0.05
-0.44,0.44,1.5,0.05
-0.44,0.66,1.5,0.05
-0.22,-0.66,1.5,0.05
-0.22,-0.44,1.5,0.05
-0.22,-0.22,1.5,0.05
-0.22,0,1.5,0.05
-0.22,0.22,1.5,0.05
-0.22,0.44,1.5,0.05
-0.22,0.66,1.5,0.05
0,-0.66,1.5,0.05
0,-0.44,1.5,0.05
0,-0.22,1.5,0.05
0,0,1.5,0.05
0,0.22,1.5,0.05
0,0.44,1.5,0.05
0,0.66,1.5,0.05
0.22,-0.66,1.5,0.05
0.22,-0.44,1.5,0.05
0.22,-0.22,1.5,0.05
0.22,0,1.5,0.05
0.22,0.22,1.5,0.05
0.22,0.44,1.5,0.05
0.22,0.66,1.5,0.05
0.44,-0.66,1.5,0.05
0.44,0.44,1.5,0.05
0.44,-0.22,1.5,0.05
0.44,0,1.5,0.05
0.44,0.22,1.5,0.05
0.44,0.44,1.5,0.05
0.44,0.66,1.5,0.05
0.66,-0.66,1.5,0.05
0.66,-0.44,1.5,0.05
0.66,-0.22,1.5,0.05
0.66,0,1.5,0.05
0.66,0.22,1.5,0.05
0.66,0.44,1.5,0.05
0.66,0.66,1.5,0.05